序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
1041,The Girl Who Kicked the Hornet's,捅马蜂窝的女孩,惊悚,立体声,2:26:24,2009,瑞典,4063,2392,None,3018,http://movie.douban.com/subject/3750748/,2009,Luftslottet som sprängdes,821,6.9,9,捅马蜂窝的女孩
1042,The Girl Who Played with Fire,玩火的女孩,惊悚,立体声,1:59:49,2014,瑞典,16,985,None,6,http://movie.douban.com/subject/5327203/,2014,The Girl Who Played with Fire,2,0,0,玩火的女孩
1043,Dancer and the Thief,舞者与小偷,惊悚,立体声,2:00:05,2009,西班牙,102,236,None,70,http://movie.douban.com/subject/3733983/,2009,El baile de la victoria,25,7.6,1,舞者与小偷
1044,The Narrows,纽约湾海峡,惊悚,立体声,1:37:22,2008,美国,246,207,None,199,http://movie.douban.com/subject/2083969/,2008,The Narrows,60,7.1,3,纽约湾海峡
1045,Blackthorn,黑荆棘,动作,立体声,1:37:22,2011,美国/西班牙,972,482,None,780,http://movie.douban.com/subject/5153904/,2011,Blackthorn,298,7.3,7,黑荆棘
1046,Mabul,天降洪水,剧情,立体声,1:40:32,2011,以色列,22,36,None,17,http://movie.douban.com/subject/3725357/,2011,Mabul,7,6.8,0,天降洪水
1047,Mourning,无声的旅行,剧情,立体声,1:21:00,2011,伊朗,36,115,None,25,http://movie.douban.com/subject/6799711/,2011,سوگ,16,7.6,1,无声的旅行
1048,Landscape No. 2,第2号风景,惊悚,立体声,1:15:11,2009,斯洛文尼亚/塞尔维,12938,3197,None,10358,http://movie.douban.com/subject/2057552/,2009,Case 39,3108,6.5,42,第39号案件
1049,Last Days in Jerusalem,在耶路撒冷的最后一天,剧情,立体声,1:06:51,2009,法国/巴勒斯坦,33,53,None,26,http://movie.douban.com/subject/4112823/,2009,Last Day of Summer,8,5.7,0,夏日的最后一天
1050,November Child,十一月的孩子,剧情,立体声,1:34:10,2008,德国,354,515,None,267,http://movie.douban.com/subject/3034699/,2008,Novemberkind,81,7,7,十一月的孩子
1051,A Quiet Life,宁静的人生,惊悚,立体声,1:37:37,2010,德国,344,94,None,271,http://movie.douban.com/subject/4099454/,2010,Una vita tranquilla,98,6.1,2,宁静的人生
1052,Different From Whom,我与谁不同,喜剧,立体声,1:37:29,2009,意大利,324,208,None,278,http://movie.douban.com/subject/3441479/,2009,Diverso da chi?,117,6.6,4,我与谁不同
1053,Barakat!,够了！,剧情,立体声,1:31:56,2006,阿尔及利亚/法国,6,4,None,6,http://movie.douban.com/subject/3271999/,2006,Barakat!,2,0,0,失踪
1054,The Big Day,大日子,爱情/喜剧,立体声,1:26:45,2001,丹麦,5,5,None,3,http://movie.douban.com/subject/1308267/,2001,The Big Day,2,0,0,婚礼急转弯
1055,Aftermath,善后,剧情,立体声,1:36:54,1994,丹麦,1097,1361,None,747,http://movie.douban.com/subject/1913903/,1994,Aftermath,367,6.1,6,后果
1056,Stealing Rembrandt,窃取伦勃朗,剧情,立体声,1:48:43,2003,丹麦,56,31,None,41,http://movie.douban.com/subject/1499803/,2003,Rembrandt,12,6.8,0,窃取伦勃朗
1057,FC Venus,维纳斯足球队,喜剧,立体声,1:45:24,2005,芬兰,73,19,None,55,http://movie.douban.com/subject/3200156/,2005,FC Venus,19,7,1,维纳斯足球队
1058,Those Who Kill: Deadly Game,杀人者之死亡游戏,惊悚,立体声,1:21:21,2010,丹麦,7240,1557,None,6031,http://movie.douban.com/subject/4265409/,2010,インシテミル 7日间のデスゲーム,2627,5.3,31,算计：七天的死亡游戏
1059,The Runway,跑道,剧情,立体声,1:28:40,2010,英国,85,60,None,77,http://movie.douban.com/subject/3570011/,2010,The Runway,36,7.8,2,跑道
1060,Dark Impulse,伊瓦的最佳点,惊悚,立体声,1:25:05,2011,西班牙,11,16,None,7,http://movie.douban.com/subject/10512706/,2011,Lo mejor de Eva,3,0,0,最好的伊娃
1061,Strangers,陌生人,爱情,立体声,1:18:35,2002,法国/以色列,27595,565,64,19196,http://movie.douban.com/subject/2148374/,2002,不要和陌生人说话,3423,7.4,19,不要和陌生人说话
1062,Bluff,虚张声势,喜剧,立体声,1:37:41,2013,哥伦比亚,9,12,None,8,http://movie.douban.com/subject/24756609/,2013,허풍,2,0,0,虚张声势
1063,9-Feb-00,是命不是運,动作,立体声,1:25:17,2009,土耳其,5,1,None,4,http://movie.douban.com/subject/5167040/,2009,40,0,0,0,四十
1064,A Goodman,一个好人,惊悚,立体声,1:34:10,1997,西班牙,15520,302,None,10497,http://movie.douban.com/subject/1295547/,1997,一個好人,595,6.7,2,一个好人
1065,14 Kilometres,14公里,爱情,立体声,1:33:50,2007,西班牙,32,20,None,25,http://movie.douban.com/subject/4144617/,2007,14 Kilometros,11,8.5,1,十四公里
1066,The Sleeping Fortune,沉睡的财富,剧情,立体声,1:42:50,2014,西班牙,2746,643,None,2376,http://movie.douban.com/subject/25750179/,2014,眠りの森,1156,7.4,5,沉睡的森林
1067,Life on the Edge,死亡边缘,剧情,立体声,1:25:04,,西班牙,24,53,None,17,http://movie.douban.com/subject/1302532/,,A Lesson Before Dying,5,7.3,0,死亡纪事
1068,Life Marks,污点的生活,惊悚,立体声,1:41:17,2006,西班牙,45584,5191,None,30806,http://movie.douban.com/subject/1794435/,2006,姨妈的后现代生活,5095,7,469,姨妈的后现代生活
1069,Every Song Is About Me,所有的歌曲都关于我,爱情,立体声,1:33:14,2010,西班牙,7,16,None,7,http://movie.douban.com/subject/5186320/,2010,Todas las canciones hablan de mí,5,0,0,每首关于我的歌
1070,Lies,不良气味,喜剧,立体声,,2007,西班牙,6,0,None,6,http://movie.douban.com/subject/3645268/,2007,Esto huele mal,1,0,0,不良气味
1071,Who's Next,所有人都被邀请,惊悚,立体声,1:29:15,2008,西班牙,2,20,None,2,http://movie.douban.com/subject/3333490/,2008,Todos estamos invitados,0,0,0,所有人都被邀请
1072,Berlin '36,柏林1936,剧情,立体声,1:36:14,2009,德国,72,135,None,60,http://movie.douban.com/subject/3233663/,2009,Berlin 36,15,7.3,0,柏林1936
1073,Almanya - Willkomen in Deutshland,阿曼尼亚,喜剧,立体声,1:36:55,2011,德国,772,606,None,637,http://movie.douban.com/subject/5153875/,2011,Almanya - Willkommen in Deutschland,292,8.2,12,阿曼尼亚
1074,Bon Appetit,苏黎世情缘,喜剧,立体声,1:31:04,2010,德国,421,155,None,316,http://movie.douban.com/subject/3148699/,2010,Bon appétit,147,6.2,2,苏黎世情缘
1075,Maternity Blues,母性忧闷,剧情,立体声,1:33:38,2012,意大利,20,30,None,17,http://movie.douban.com/subject/10526864/,2012,Maternity Blues,6,6.7,1,母爱的忧伤
1076,Rough Hands,粗糙的双手,剧情,立体声,1:34:52,2011,摩洛哥,0,0,None,0,http://movie.douban.com/subject/6801410/,2011,Ayadin Khachina,0,0,0,Ayadin Khachina
1077,The Father and the Foreigner,父亲和外国人,剧情,立体声,1:46:02,2010,意大利,8,22,None,7,http://movie.douban.com/subject/3721150/,2010,Il padre e lo straniero,7,0,0,爸爸和陌生人
1078,Unlikely Revolutionaries,“不可能”的革命者,喜剧,立体声,1:38:53,2012,意大利,180,45,None,137,http://movie.douban.com/subject/11625621/,2012,美好2012：不可能的可能,52,7.2,0,美好2012：不可能的可能
1079,Chocolate Kisses,巧克力之吻,爱情,立体声,1:39:08,2011,意大利,11,7,None,10,http://movie.douban.com/subject/20394197/,2011,Lezioni di cioccolato 2,4,0,0,巧克力课程2
1080,The Matchmaker,媒人,剧情,立体声,1:50:10,1958,以色列,6,17,None,5,http://movie.douban.com/subject/5060622/,1958,The Matchmaker,3,0,0,我爱红娘
1081,Captain Thunder,雷霆队长与圣杯,动作,立体声,1:47:47,2011,西班牙,14,9,None,11,http://movie.douban.com/subject/3075914/,2011,Captain Thunder,7,4.9,0,雷霆队长与圣杯
1082,Cinema Dream,梦徊电影院,喜剧,立体声,1:22:16,1988,伊朗,271802,77434,None,195785,http://movie.douban.com/subject/1291828/,1988,Nuovo Cinema Paradiso,42144,9.1,1457,天堂电影院
1083,Loft,阁楼,惊悚,立体声,1:45:05,2003,荷兰,12284,435,35,8215,http://movie.douban.com/subject/1790410/,2003,옥탑방 고양이,1124,6.9,21,阁楼男女
1084,Simon and the Oaks,西蒙和橡树,剧情,立体声,1:54:37,2011,瑞典,618,1501,None,468,http://movie.douban.com/subject/3543324/,2011,Simon och Ekarna,197,7.6,4,橡树男孩
1085,The Cliff,悬崖,惊悚,立体声,1:45:40,2011,冰岛,5480,728,512,4723,http://movie.douban.com/subject/6965622/,2011,悬崖,1828,7.6,100,悬崖
1086,Hidden (Skjult),不可告人,惊悚,立体声,1:31:12,2009,挪威,197,112,None,156,http://movie.douban.com/subject/4092155/,2009,Skjult,64,5.2,2,隐藏
1087,Horn of Plenty,聚宝盆,剧情,立体声,1:36:19,2003,西班牙,6910,49,14,4681,http://movie.douban.com/subject/2248747/,2003,聚宝盆,428,5.9,0,聚宝盆
1088,An Invisible Woman,隐形的女人,喜剧,立体声,1:34:21,2004,西班牙,98677,15554,None,67082,http://movie.douban.com/subject/1308799/,2004,一个陌生女人的来信,15734,7.3,980,一个陌生女人的来信
1089,Those Who Kill: An Eye for an Eye,凶杀案之以牙还牙,惊悚,立体声,1:22:00,1996,丹麦,7,2,None,5,http://movie.douban.com/subject/21795390/,1996,竹昇妹之以牙還牙,2,0,0,竹升妹之以牙还牙
1090,Those Who Kill: Shadow of the Past,杀人者-过去的阴影,惊悚,立体声,1:31:38,2010,丹麦,648,163,None,515,http://movie.douban.com/subject/4316611/,2010,반가운 살인자,141,6.1,6,你好杀人犯
1091,Beyond,爱，让悲伤跨越,剧情,立体声,1:33:19,2010,瑞典,227,210,None,165,http://movie.douban.com/subject/3731653/,2010,Svinalängorna,62,6.9,6,爱，让悲伤跨越
1092,Brothers - The Return,兄弟—回归,惊悚,立体声,1:30:20,2006,瑞典,0,0,None,0,http://movie.douban.com/subject/25730946/,2006,Tusenbröder - Återkomsten,0,0,0,兄弟归来
1093,Darkwoods,黑暗的森林,惊悚,立体声,1:21:12,2006,挪威,2509,319,None,1834,http://movie.douban.com/subject/1951013/,2006,죽음의 숲 - 어느날 갑자기 네번째 이야기,299,5.5,8,突然有一天之黑暗森林
1094,Dear Alice,亲爱的爱丽丝,剧情,立体声,1:32:35,2010,瑞典,202817,34556,None,160943,http://movie.douban.com/subject/2336785/,2010,Alice in Wonderland,44754,6.8,1415,爱丽丝梦游仙境
1095,Kissed by Winter,冬季的亲吻,剧情,立体声,1:16:12,2005,挪威,3,1,None,1,http://movie.douban.com/subject/5227708/,2005,Vinterkyss,1,0,0,Vinterkyss
1096,The Flyer,飞越之人,剧情,立体声,1:31:43,2005,南非,,,,,,2005,,,,,
1097,Your Life in ‘65,你的65秒钟生活,剧情,立体声,1:32:31,2006,西班牙,35,100,None,28,http://movie.douban.com/subject/2264862/,2006,Tu vida en 65',12,8.1,2,你的65秒钟生活
1098,The Education of a Fairy,仙女的教育,剧情,立体声,1:32:54,2007,西班牙,134,293,None,93,http://movie.douban.com/subject/2036202/,2007,The Education of Charlie Banks,36,6.9,0,查理班克斯的教育
1099,The Method,职场无间道,惊悚,立体声,1:51:03,2002,西班牙,328179,10212,None,230814,http://movie.douban.com/subject/1307914/,2002,無間道,31388,8.7,344,无间道
1100,Only Human,毛脚女婿,喜剧,立体声,1:23:03,2004,西班牙/英国,105,113,None,75,http://movie.douban.com/subject/1812328/,2004,Only Human,32,8.1,1,毛脚女婿
1101,The Crossing,瓶子里的火车,惊悚,立体声,1:30:43,2004,挪威,16,14,None,6,http://movie.douban.com/subject/1945705/,2004,Andreaskorset,2,0,0,瓶子里的火车
1102,At Point Blank,在空白点,惊悚,立体声,1:40:01,2003,瑞典,0,0,None,0,http://movie.douban.com/subject/5119153/,2003,At Point Blank,0,0,0,At Point Blank
1103,Beyond The Border,超越边界,动作,立体声,1:56:07,2003,瑞典,3995,1875,None,2887,http://movie.douban.com/subject/1300698/,2003,Beyond Borders,688,7.5,43,超越边界
1104,Body of Water,水体,惊悚,立体声,1:39:46,2011,芬兰,115,38,None,97,http://movie.douban.com/subject/5153863/,2011,Syvälle salattu,39,5,1,水之身
1105,The Bright Side of the Moon,月亮美好的一面,剧情,立体声,1:53:32,2012,意大利,22290,4575,3099,20667,http://movie.douban.com/subject/7051270/,2012,해를 품은 달,8098,8,170,拥抱太阳的月亮
1106,A Simple Love Story,一个简单的爱情故事,爱情,立体声,1:40:12,,伊朗,1,1,None,1,http://movie.douban.com/subject/2131657/,,A Simple Love Story,1,0,0,A Simple Love Story
1107,Swindlers,骗子,惊悚,立体声,1:47:33,2013,西班牙,9389,18500,None,7975,http://movie.douban.com/subject/6873657/,2013,American Hustle,4667,6.7,41,美国骗局
1108,I Know Who You Are,我知道你是谁,惊悚,立体声,1:42:30,2005,西班牙/阿根廷,0,1,None,0,http://movie.douban.com/subject/5215352/,2005,I Know Who You Are,0,0,0,I Know Who You Are
1109,Cleopatra,克莉奥帕特拉,爱情,立体声,1:39:20,1963,西班牙,32407,8576,None,20920,http://movie.douban.com/subject/1292550/,1963,Cleopatra,3191,7.6,48,埃及艳后
1110,Your Next Life,你的来生,惊悚,立体声,1:42:51,2004,西班牙,16,32,None,9,http://movie.douban.com/subject/1602839/,2004,La vida que te espera,1,0,0,La vida que te espera
1111,Fear Me Not,别害怕我,惊悚,立体声,1:30:27,2010,丹麦,262,230,None,124,http://movie.douban.com/subject/4058981/,2010,"Bi, dung so!",48,6.6,1,毕，别害怕
1112,Little Big Girl,小大女孩,家庭,立体声,1:37:20,2002,丹麦,133,204,None,105,http://movie.douban.com/subject/1857445/,2002,Ulvepigen Tinke,27,8.2,0,野丫头
1113,We Are the Champions,我们是冠军,惊悚,立体声,1:19:24,2013,丹麦,32,2,None,23,http://movie.douban.com/subject/25806492/,2013,我们是冠军,10,0,0,我们是冠军
1114,Serial Dreams,连续梦境,惊悚,立体声,1:37:20,2010,伊朗,,,,,,2010,,,,,
1115,"Behrouz Hit Me, Mom!",贝鲁兹打我，妈妈,家庭,立体声,1:21:18,2010,伊朗,,,,,,2010,,,,,
1116,Queen,皇后,惊悚,立体声,2:00:49,2013,伊朗,466,299,541,709,http://movie.douban.com/subject/24883821/,2013,기황후,183,7,27,奇皇后
1117,Jackpot,聚宝游戏,喜剧,立体声,1:11:50,2012,挪威,133,59,None,98,http://movie.douban.com/subject/11600253/,2012,Jackpot,37,5.8,0,头彩
1118,Daisy Diamond,黛西之钻,剧情,立体声,1:19:03,2007,丹麦,56,112,None,43,http://movie.douban.com/subject/3182689/,2007,Daisy Diamond,22,5.6,1,黛西之钻
1119,Sunstorm,太阳风暴,惊悚,立体声,1:39:18,2001,瑞典,2,2,None,1,http://movie.douban.com/subject/1307730/,2001,Sunstorm,1,0,0,火辣四姊妹
1120,Silent City,无声之城,剧情,立体声,1:25:54,2008,荷兰,66,95,2,47,http://movie.douban.com/subject/3292484/,2008,忠臣蔵 音無しの剣,14,7.2,1,忠臣藏 无声之剑
1121,Love at Forty,四十之爱,爱情,立体声,1:25:08,2001,伊朗,1139,866,None,751,http://movie.douban.com/subject/3818949/,2001,完全なる飼育 愛の40日,186,6.5,9,禁室培欲2：爱的四十日
1122,A True Report,真实报告,剧情,立体声,1:27:14,2010,伊朗,,,,,,2010,,,,,
1123,Sweet Sixteen,甜蜜十六岁,剧情,立体声,1:41:41,2002,英国,1027,3089,None,717,http://movie.douban.com/subject/1304660/,2002,Sweet Sixteen,184,7.8,3,甜蜜十六岁
1124,Boogie Woogie,摇摆名画,喜剧,立体声,1:24:07,2009,英国,549,1010,None,375,http://movie.douban.com/subject/3072154/,2009,Boogie Woogie,124,6.7,6,摇摆画廊
1125,The Best Man,绝世好男,爱情,立体声,1:31:37,2001,美国,44131,590,None,28352,http://movie.douban.com/subject/1306319/,2001,绝世好Bra,1671,5.7,8,绝世好Bra
1126,The Alzemier Case,杀手的记忆,惊悚,立体声,1:56:16,2003,比利时,107818,30241,None,86174,http://movie.douban.com/subject/1300299/,2003,살인의 추억,26412,8.5,523,杀人回忆
1127,Immediate Boarding,如似姐妹,家庭,立体声,1:24:53,2003,瑞典,,,,,,2003,,,,,
1128,ID: A,身份A,动作,立体声,1:40:08,2013,丹麦,46388,9780,None,44556,http://movie.douban.com/subject/23126901/,2013,特殊身份,28425,3.8,1275,特殊身份
1129,Summer Window,夏之窗,剧情,立体声,1:32:41,2011,德国,,,,,,2011,,,,,
1130,3rd Floor,绝命三楼,惊悚,立体声,1:22:08,2010,伊朗,,,,,,2010,,,,,
1131,The Fateful Night,命运之夜,剧情,立体声,1:29:40,2011,伊朗,20061,5709,2390,18849,http://movie.douban.com/subject/5416070/,2011,Fate/Zero,5938,9,43,命运之夜前传 第一期
1132,"Iraq, Evening of the 10th Day",伊拉克，第十天夜晚,剧情,立体声,1:43:13,2010,伊朗,0,0,None,0,http://movie.douban.com/subject/25796142/,2010,"Iraq, the Evening of the 10th Day",0,0,0,伊拉克的第十夜
1133,The Market,黑心交易市场,剧情,立体声,1:28:59,2011,土耳其,19391,10687,None,16154,http://movie.douban.com/subject/4888853/,2011,Margin Call,6379,7.6,99,利益风暴
1134,No Man's Land,三不管地帯,剧情,立体声,1:33:04,2001,波斯尼亚,9200,10208,None,7073,http://movie.douban.com/subject/1306303/,2001,No Man's Land,1635,8.5,56,无主之地
1135,The Mighty Celt,赛犬真情,剧情,立体声,1:18:21,2005,冰岛,9,13,None,4,http://movie.douban.com/subject/1844588/,2005,The Mighty Celt,1,0,0,The Mighty Celt
1136,Rough Winds,困境,剧情,立体声,1:45:17,,西班牙,0,0,None,0,http://movie.douban.com/subject/5184131/,,Rough Winds,0,0,0,Rough Winds
1137,Beck: Buried Alive,神探贝克-活埋,惊悚,立体声,1:26:13,,瑞典,9,7,None,7,http://movie.douban.com/subject/5199169/,,Beck,5,0,0,神探贝克
1138,Catch That Girl,小小飞贼,冒险,立体声,1:23:02,2013,丹麦,5157,183,None,5104,http://movie.douban.com/subject/19977815/,2013,小小飞虎队,1258,3.9,2,小小飞虎队
1139,Finding Friends,找朋友,冒险,立体声,1:25:34,,挪威,6,25,2,4,http://movie.douban.com/subject/3260484/,,找呀找呀找朋友,0,0,0,找呀找呀找朋友
1140,Beyond (Dykkerne),深海零界点,惊悚,立体声,1:28:43,2000,丹麦,4,6,None,2,http://movie.douban.com/subject/1296178/,2000,Dykkerne,3,0,0,深海灵界点
1141,King's Game,政治游戏,惊悚,立体声,1:42:33,2004,丹麦,,,,,,2004,,,,,
1142,One Step Behind,迟来一步,惊悚,立体声,1:37:25,2005,瑞典,,,,,,2005,,,,,
1143,Maria Wern - Fatal Contamination,马利亚韦恩,惊悚,立体声,2:44:51,2004,瑞典,63700,9192,None,22623,http://movie.douban.com/subject/1308854/,2004,사마리아,4126,7.5,176,萨玛利亚女孩
1144,Just a Father,父亲学习手册,剧情,立体声,1:29:48,2009,意大利,,,,,,2009,,,,,
1145,At A Glance,爱情离间计,惊悚,立体声,1:52:57,2008,意大利,46,63,None,31,http://movie.douban.com/subject/3018037/,2008,Colpo d'occhio,9,7.4,0,爱情离间计
1146,In This World,美丽新世界,剧情,立体声,1:26:06,1999,英国,4756,812,None,3315,http://movie.douban.com/subject/1299158/,1999,美丽新世界,574,7.3,26,美丽新世界
1147,Dossier K,K档案,惊悚,立体声,1:56:30,2009,比利时,43,17,None,30,http://movie.douban.com/subject/4730454/,2009,Dossier K,8,6.1,0,K档案
1148,French Film,法式爱情电影,爱情,立体声,1:24:08,2008,英国,81,91,None,61,http://movie.douban.com/subject/3402150/,2008,French Film,16,7.1,1,French Film
1149,My Year Without Sex,今年不做爱,剧情,立体声,1:32:18,2009,澳大利亚,347,328,None,247,http://movie.douban.com/subject/3568945/,2009,My Year Without Sex,91,6.1,2,无性的一年
1150,Drowning Ghost,溺死鬼,惊悚,立体声,1:39:19,2004,瑞典,21,13,None,9,http://movie.douban.com/subject/1805421/,2004,Strandvaskaren,1,0,0,溺死鬼
1151,United,爱上足球的我们,喜剧,立体声,1:21:45,2013,挪威,303119,30942,None,255521,http://movie.douban.com/subject/6973376/,2013,致我们终将逝去的青春,128574,6.7,7382,致我们终将逝去的青春
1152,This is England,这就是英国,剧情,立体声,1:37:24,2006,英国,22067,15827,None,15332,http://movie.douban.com/subject/1806543/,2006,This Is England,3262,7.9,100,这就是英格兰
1153,A Boy Called Dad,被叫做爸爸的男孩,剧情,立体声,1:15:27,2009,英国,107,336,None,74,http://movie.douban.com/subject/3734228/,2009,A Boy Called Dad,27,6.5,0,被叫做爸爸的男孩
1154,Wah Wah,华华岁月,剧情,立体声,1:35:08,2005,英国,144,567,None,100,http://movie.douban.com/subject/1769104/,2005,Wah-Wah,38,7.2,1,哇哇岁月
1155,Beautiful Kate,美丽的凯特,剧情,立体声,1:25:52,2009,澳大利亚,1384,1879,None,1029,http://movie.douban.com/subject/3790533/,2009,Beautiful Kate,329,7.5,15,美丽的凯特
1156,BabyCall,阴孩来电,惊悚,立体声,1:32:12,2011,挪威,35,103,None,25,http://movie.douban.com/subject/5156729/,2011,Babycall,11,6.8,0,鬼儿监视器
1157,Murder Farm,谋杀农场,惊悚,立体声,1:32:53,2009,德国,25,31,None,16,http://movie.douban.com/subject/4064782/,2009,Tannöd,8,5.9,0,谋杀农场
1158,Whisky With Vodka,威士忌与伏特加,剧情,立体声,1:39:32,2000,德国,18,47,None,16,http://movie.douban.com/subject/3751533/,2000,Whisky mit Wodka,4,6.3,0,威士忌与伏特加
1159,Bad 家庭,不良家庭,剧情,立体声,1:29:49,2010,芬兰,18,178,None,12,http://movie.douban.com/subject/3566229/,2010,Paha perhe,5,7.5,0,不良家庭
1160,Lessons In Chocolate,浪漫巧克力课程,爱情,立体声,1:34:57,2011,意大利,11,7,None,10,http://movie.douban.com/subject/20394197/,2011,Lezioni di cioccolato 2,4,0,0,巧克力课程2
1161,Seven Acts of Mercy,相伴的距离,剧情,立体声,1:38:50,2007,意大利,54258,18050,None,35682,http://movie.douban.com/subject/2230888/,2007,最遙遠的距離,7112,6.7,600,最遥远的距离
1162,Priest of Evil,邪恶祭司,惊悚,立体声,1:40:06,2010,芬兰,76,35,None,58,http://movie.douban.com/subject/5155935/,2010,Priest of Evil,20,5.5,0,哈留恩佩与邪恶祭司
1163,Murk,黑暗线索,惊悚,立体声,1:59:00,2005,丹麦,198,241,None,141,http://movie.douban.com/subject/1834414/,2005,Mørke,27,6.9,3,黑暗
1164,Oldboys,青春老男孩,剧情,立体声,1:34:52,,丹麦,582,1294,None,376,http://movie.douban.com/subject/3238078/,,Oldboys,141,8,3,老男孩
1165,Files on the Wall,针孔正义,惊悚,立体声,1:31:56,2005,丹麦,,,,,,2005,,,,,
1166,Reclaim Your Brain,占领大脑,喜剧,立体声,1:57:43,2007,德国,,,,,,2007,,,,,
1167,Nobel's Last Wish,安尼卡 班森 诺贝尔的遗嘱,惊悚,立体声,1:28:54,2012,瑞典,,,,,,2012,,,,,
1168,Annika Bengtzon—A Place In the Sun,安尼卡 班森 日光之下,惊悚,立体声,1:28:22,2012,瑞典,,,,,,2012,,,,,
1169,Annika Bengtzon-Lifetime,安尼卡 班森 生存战,惊悚,立体声,1:28:30,2012,瑞典,,,,,,2012,,,,,
1170,Annika Bengtzon-Studio Sex,安尼卡 班森 69工作室,惊悚,立体声,1:29:01,2012,瑞典,,,,,,2012,,,,,
1171,Annika Bengtzon-Prime Time,安尼卡 班森 黄金时段,惊悚,立体声,1:29:24,2012,瑞典,,,,,,2012,,,,,
1172,El Dedo,手指,喜剧,立体声,1:33:27,2011,阿根廷,5899,1865,None,4821,http://movie.douban.com/subject/5386987/,2011,新春ドラマSP 赤い指～「新参者」加賀恭一郎再び！,1739,7.8,19,红手指
1173,Viva Belarus,万岁！白俄罗斯！,剧情,立体声,1:40:03,,波兰,623,137,None,406,http://movie.douban.com/subject/1962939/,,狂吻俄罗斯,34,6.4,1,狂吻俄罗斯
1174,Gucha,爱情喇叭手,冒险,立体声,1:27:41,2006,塞尔维亚,4,9,None,4,http://movie.douban.com/subject/2336564/,2006,狂野喇叭手,2,0,0,狂野喇叭手
1175,Chinese Takeaway,一丝偶然,喜剧,立体声,1:26:29,2011,阿根廷,1395,1911,None,1115,http://movie.douban.com/subject/6284748/,2011,Un cuento chino,462,7.4,17,一丝偶然
1176,Red Lips,红唇,冒险,立体声,1:34:02,,墨西哥,49,16,None,32,http://movie.douban.com/subject/4158439/,,Conspiracy,11,4.7,0,赤裸红唇
1177,Year of Grace,忘年契约,剧情,立体声,1:25:07,2011,西班牙,,,,,,2011,,,,,
1178,Easy Money II,不义之财 2,动作,立体声,1:35:46,2012,瑞典,181,225,None,142,http://movie.douban.com/subject/5326133/,2012,Snabba Cash II,56,6.4,0,不义之财2
1179,Bad Faith,恶意,惊悚,立体声,1:39:50,2000,瑞典,0,0,None,0,http://movie.douban.com/subject/1295693/,2000,Bad Faith,0,0,0,叛徒
1180,"Above the Street, Below the Water",爱似流水,剧情,立体声,1:24:43,2009,丹麦,1,0,None,1,http://movie.douban.com/subject/5163737/,2009,"Above the Street, Below the Water",0,0,0,"Above the Street, Below the Water"
1181,4 Days In May,五月的四天,剧情,立体声,1:33:28,2011,德国,66,194,None,55,http://movie.douban.com/subject/6722730/,2011,4 Tage im Mai,29,8.2,3,五月的四天
1182,Bunshinsaba,笔仙,恐怖,立体声,1:33:13,2012,中国大陆,12017,1763,None,9666,http://movie.douban.com/subject/10549223/,2012,笔仙,5077,4.8,182,笔仙
1183,,疯狂漂移假爸爸,喜剧,立体声,1:32:05,2012,中国大陆,67,3,None,55,http://movie.douban.com/subject/19908236/,2012,疯狂飘移假爸爸,30,3.9,1,疯狂飘移假爸爸
1184,,红鹰侠,动作,立体声,1:49:37,2010,泰国,1020,200,None,820,http://movie.douban.com/subject/5044742/,2010,อินทรีแดง,406,4.9,20,红鹰侠
1185,The Flying Machine,梦幻飞琴,冒险,立体声,1:17:38,2011,中国大陆,755,327,None,674,http://movie.douban.com/subject/5161713/,2011,The Flying Machine,376,2.9,4,梦幻飞琴
1186,Punished,迷途追凶,罪案,立体声,1:27:01,2011,中国香港,8297,1299,None,6677,http://movie.douban.com/subject/4310059/,2011,報應,2354,5.6,56,迷途追凶
1187,Legend of The Moles-Treasure of Scylla,摩尔庄园2海妖宝藏,动画,立体声,1:35:11,2012,中国大陆,371,120,None,326,http://movie.douban.com/subject/10727042/,2012,摩尔庄园2海妖宝藏,179,4.2,33,摩尔庄园2海妖宝藏
1188,The Story of A Piano,琴动我心,剧情,立体声,1:28:18,2010,中国大陆,305,46,None,245,http://movie.douban.com/subject/5924216/,2010,琴动我心,118,4,3,琴动我心
1189,Nightmare,青魇,恐怖片,立体声,1:25:29,2012,中国大陆,7298,2445,None,6127,http://movie.douban.com/subject/10508879/,2012,青魇,2874,5.9,68,青魇
1190,The Three Musketeers,三个火枪手,动作,立体声,1:50:30,2011,美国,44867,8127,None,36243,http://movie.douban.com/subject/4035906/,2011,The Three Musketeers,14613,6.5,173,三个火枪手
1191,The Man Behind the Courtyard House,守望者 罪恶迷途,罪案,立体声,1:48:32,2011,中国大陆,14615,2564,None,12121,http://movie.douban.com/subject/4821015/,2011,守望者：罪恶迷途,5482,6.4,317,守望者：罪恶迷途
1192,A Simple Life,桃姐,剧情,立体声,1:58:13,2011,中国香港,176327,39014,None,137781,http://movie.douban.com/subject/5977835/,2011,桃姐,52214,8.3,1468,桃姐
1193,,武侠,动作,立体声,1:54:30,2011,中国大陆,123679,9589,None,100016,http://movie.douban.com/subject/4942776/,2011,武侠,41021,6.6,1410,武侠
