序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
54,DETONATOR，THE,爆烈追凶,动作,立体声,1:32:27,2003,美国,4,0,None,2,http://movie.douban.com/subject/1304111/,2003,Detonator,1,0,0,爆烈追凶
55,DESPICABLE ME,卑鄙的我,动画,环绕声，多声道,1:30:44,2013,美国,146653,42390,None,125091,http://movie.douban.com/subject/4915857/,2013,Despicable Me 2,47730,8,169,神偷奶爸2
56,Les Misérables,悲惨世界,剧情,,2:00:00,2012,英国,187558,75308,None,153918,http://movie.douban.com/subject/6860160/,2012,Les Misérables,66783,8.5,1141,悲惨世界
57,Fred Claus,北极的圣诞老人兄弟,喜剧,,2:00:00,2007,美国,1080,347,None,842,http://movie.douban.com/subject/1905459/,2007,Fred Claus,161,6.4,4,北极的圣诞老人兄弟
58,Beowulf,贝奥武夫,动作,,2:00:00,2007,美国,24133,3046,None,18438,http://movie.douban.com/subject/1792917/,2007,Beowulf,3160,6.4,186,贝奥武夫
59,Evita,贝隆夫人,剧情,立体声,2:03:50,1996,美国,13105,6872,None,9393,http://movie.douban.com/subject/1295804/,1996,Evita,2034,7.6,67,贝隆夫人
60,Seabiscuit,奔腾年代,运动,,2:00:00,2003,美国,24497,13723,None,18693,http://movie.douban.com/subject/1307535/,2003,Seabiscuit,3776,8.2,128,奔腾年代
61,The Curious Case of Benjamin Button,本杰明·巴顿奇事,奇幻,,2:00:00,2008,美国,333536,41963,None,254942,http://movie.douban.com/subject/1485260/,2008,The Curious Case of Benjamin Button,51699,8.5,2492,本杰明·巴顿奇事
62,Instinct,本能反应,惊悚,,2:00:00,1999,美国,1790,1715,None,1279,http://movie.douban.com/subject/1293624/,1999,Instinct,211,7.9,12,本能反应
63,Lone Star State of Mind,笨头牛仔,喜剧,立体声,1:21:25,2002,美国,14,3,None,8,http://movie.douban.com/subject/1303513/,2002,Lone Star State of Mind,3,0,0,笨头牛仔
64,BLUE STREAK,笨贼妙探,喜剧,立体声,1:33:56,1999,美国,8829,1361,None,6935,http://movie.douban.com/subject/1297260/,1999,Blue Streak,1273,7.3,4,笨贼妙探
65,PETER PAN (2003),彼得·潘,奇幻,立体声,1:48:38,2003,美国,31334,6873,None,22987,http://movie.douban.com/subject/1307931/,2003,Peter Pan,4732,7.9,152,小飞侠彼得潘
66,"SHEPHERD, THE (2008)",边境巡逻,动作,立体声,1:29:35,2008,美国,289,44,None,217,http://movie.douban.com/subject/2991620/,2008,The.Shepherd.Border.Patrol,34,5,3,忠于职守：边境巡逻
67,Batman,蝙蝠侠,奇幻,立体声,2:01:05,2008,美国,227808,22515,None,179288,http://movie.douban.com/subject/1851857/,2008,The Dark Knight,40386,8.8,1115,蝙蝠侠：黑暗骑士
68,Batman: Mystery of the Batwoman,蝙蝠侠：蝙蝠女侠之迷,动画,环绕声，多声道,1:14:38,2003,美国,174,133,None,127,http://movie.douban.com/subject/3176141/,2003,Batman: Mystery of the Batwoman,26,7.3,1,神秘的女蝙蝠侠
69,"Batman: The Dark Knight Returns,Part 1",蝙蝠侠：黑暗骑士归来1,动画,环绕声，多声道,1:15:50,2012,美国,9613,2756,None,7697,http://movie.douban.com/subject/11443807/,2012,"Batman: The Dark Knight Returns, Part 1",1858,7.6,9,蝙蝠侠：黑暗骑士归来(上)
70,"Batman: The Dark Knight Returns,Part 1",蝙蝠侠：黑暗骑士归来2,动画,环绕声，多声道,1:12:05,2013,美国,7801,3653,None,5861,http://movie.douban.com/subject/11443810/,2013,"Batman: The Dark Knight Returns, Part 2",1819,8.6,32,蝙蝠侠：黑暗骑士归来(下)
71,The Dark Knight Rises,蝙蝠侠：黑暗骑士崛起,奇幻,环绕声，多声道,2:44:27,2012,美国,233737,29991,None,192185,http://movie.douban.com/subject/3395373/,2012,The Dark Knight Rises,79314,8.4,1650,蝙蝠侠：黑暗骑士崛起
72,Batman Begins,蝙蝠侠：侠影之谜,科幻,立体声,2:13:57,2005,美国,101648,8632,None,81079,http://movie.douban.com/subject/1309069/,2005,Batman Begins,16201,7.9,186,蝙蝠侠：侠影之谜
73,Batman: Year One,蝙蝠侠：元年,动画,立体声,1:04:04,2011,美国,2672,664,None,2233,http://movie.douban.com/subject/5150481/,2011,Batman: Year One,704,7.8,5,蝙蝠侠：元年
74,Face/Off,变脸,动作,,2:00:00,1997,美国,203011,17893,None,145451,http://movie.douban.com/subject/1292659/,1997,Face/Off,19453,8.3,182,变脸
75,The Hot Chick,变身辣妹,喜剧,立体声,1:34:00,2002,美国,20349,2671,None,14983,http://movie.douban.com/subject/1305804/,2002,The Hot Chick,2504,6.7,13,小姐好辣
76,Transformers,变形金刚,科幻,,2:00:00,2014,美国,410,7975,None,254,http://movie.douban.com/subject/7054604/,2014,Transformers: Age of Extinction,70,0,3,变形金刚4：绝迹重生
77,Transformers: Revenge of the Fallen,变形金刚2,科幻,,2:00:00,2009,美国,221869,12203,None,172289,http://movie.douban.com/subject/2146991/,2009,Transformers: Revenge of the Fallen,27303,7.5,1397,变形金刚2
78,"Ant Bully, The",别惹蚂蚁,动画,立体声,1:25:18,2006,美国,27612,1981,None,19672,http://movie.douban.com/subject/1482079/,2006,The Ant Bully,2030,6.8,45,别惹蚂蚁
79,The 11th Hour,濒临绝境,纪录,,2:00:00,2007,美国,2155,5451,None,1623,http://movie.douban.com/subject/1945781/,2007,The 11th Hour,401,8.2,12,第十一个小时
80,Blades of Glory,冰刀双人组,运动,,2:00:00,2007,美国,8628,1055,None,6746,http://movie.douban.com/subject/1875488/,2007,Blades of Glory,1279,6.6,33,冰刀双人组
81,Enemy at the Gates,兵临城下,战争,,2:00:00,2001,英美德,81720,9717,None,62260,http://movie.douban.com/subject/1301726/,2001,Enemy at the Gates,9518,8.2,194,兵临城下
82,Prince of Persia: Sands of Time,波斯王子：时之刃,奇幻,,2:00:00,2010,美国,97740,11768,None,79825,http://movie.douban.com/subject/1819388/,2010,Prince of Persia: The Sands of Time,23148,7,491,波斯王子：时之刃
83,Unaccompanied Minors,不羁圣诞夜,家庭,,2:00:00,2006,美国,1034,445,None,791,http://movie.douban.com/subject/1861154/,2006,Unaccompanied Minors,195,7,6,无人陪伴的儿童
84,Unknown,不明身份,悬疑,环绕声，多声道,1:50:29,2011,美国,34361,8410,None,27977,http://movie.douban.com/subject/3614963/,2011,Unknown,8734,6.7,131,不明身份
85,Unbreakable,不死劫,惊悚,,2:00:00,2000,美国,7910,3317,None,6196,http://movie.douban.com/subject/1301711/,2000,Unbreakable,1335,6.6,33,不死劫
86,CONSTANT GARDENER，THE,不朽的园丁,剧情,环绕声，多声道,2:03:08,2005,美国,17049,10957,None,13084,http://movie.douban.com/subject/1419856/,2005,The Constant Gardener,2995,7.9,168,不朽的园丁
87,Phenomenon,不一样的本能,奇幻,,2:00:00,1996,美国,1960,988,None,1515,http://movie.douban.com/subject/1293113/,1996,Phenomenon,400,7.4,12,不一样的本能
88,The Muppets,布偶大电影,家庭,,2:00:00,2011,美国,4779,3390,None,3994,http://movie.douban.com/subject/3014200/,2011,The Muppets,1918,6.7,28,布偶大电影
