序号,英文名称,节目名称,类型,集数,时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
59,,我的父亲是“板凳”,生活/励志,36,60,2011,中国大陆,245,21,22,209,http://movie.douban.com/subject/6430831/,2011,我的父亲是板凳,76,3.9,7,我的父亲是板凳
60,,女人如花/厂花,青春/家庭,32,60,2011,中国大陆,,,,,,2011,,,,,
61,,钢铁年代,家庭/军旅,37,60,2010,中国大陆,,,,,,2010,,,,,
62,,十二生肖传奇,历史/战争,34,60,2011,中国大陆,460,193,70,387,http://movie.douban.com/subject/4920537/,2011,十二生肖传奇,137,3.8,2,十二生肖传奇
63,,黎明之前,谍战/军旅,30,60,2010,中国大陆,14698,3736,935,13356,http://movie.douban.com/subject/4894070/,2010,黎明之前,4919,9,233,黎明之前
64,,我们队伍向太阳,爱情/战争,30,60,2010,中国大陆,,,,,,2010,,,,,
65,,上海，上海,商战/历史,36,60,2010,中国大陆,973,379,149,820,http://movie.douban.com/subject/3920718/,2010,上海，上海,266,7,14,上海，上海
66,,爱要有你才完美,爱情/都市,26,60,2010,中国大陆,,,,,,2010,,,,,
67,,苍弯之昂,历史/古装,28,60,2009,中日合拍,,,,,,2009,,,,,
68,,风雨沙坡头,战争/剧情,35,60,2010,中国大陆,5,2,None,4,http://movie.douban.com/subject/6538311/,2010,风雨沙坡头,2,0,0,风雨沙坡头
69,,远山的红叶,现代/伦理,20,60,2010,中国大陆,,,,,,2010,,,,,
70,,一一向前沖,言情/偶像,28,60,2010,中国大陆,1826,215,133,1511,http://movie.douban.com/subject/5279645/,2010,一一向前冲,546,6.7,38,一一向前冲
71,,沉默,都市/悬疑,25,60,2010,中国大陆,,,,,,2010,,,,,
72,,傻春,家庭/情感,34,60,2011,中国大陆,2079,125,93,1687,http://movie.douban.com/subject/6014999/,2011,傻春,501,7.3,16,傻春
73,,烟雨斜阳,家庭/伦理,36,60,2010,中国大陆,151,71,15,134,http://movie.douban.com/subject/4230949/,2010,烟雨斜阳,40,6,3,烟雨斜阳
74,,倾城绝恋,清宫爱情偶,41,60,2012,中国大陆,1077,80,73,981,http://movie.douban.com/subject/7163803/,2012,倾城绝恋,499,5.4,25,倾城绝恋
75,,天真遇到现实,家庭、爱情,34,60,2012,中国大陆,,,,,,2012,,,,,
76,,“青春期”撞上更年期,都市/偶像,36,60,2010,中国大陆,,,,,,2010,,,,,
77,,大爱无敌,爱情/现代,25,60,2009,中国大陆,,,,,,2009,,,,,
78,,间谍明月,爱情、喜剧,18,60,2011,韩国,2312,295,389,2129,http://movie.douban.com/subject/6393361/,2011,스파이명월,788,5.8,25,间谍明月
79,,面包王金卓求,励志/爱情,30,60,2010,韩国,2674,413,305,2276,http://movie.douban.com/subject/4841242/,2010,제빵왕 김탁구,728,6.8,22,面包王金卓求
