序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
208,Spy Kids 3-D: Game Over,非常小特务3,奇幻,,2:00:00,2003,美国
209,ILLEGAL TENDER,非法招标,罪案,立体声,1:42:19,2007,美国
210,STEP BROTHERS,非亲兄弟,喜剧,立体声,1:33:57,2008,美国
211,EASY A,绯闻计划,喜剧,立体声,1:31:25,2010,美国
212,NUTTY PROFESSOR II: THE KLUMPS,肥佬教授2,喜剧,环绕声，多声道,1:39:51,2000,美国
213,Gangster Squad,匪帮传奇,动作,环绕声，多声道,1:52:50,2013,美国
214,PHILADELPHIA,费城故事,爱情,立体声,2:05:22,1993,美国
215,"BREAK-UP, THE",分手男女,喜剧,环绕声，多声道,1:41:50,2006,美国
216,ANGER MANAGEMENT,愤怒管理,喜剧,立体声,1:38:11,2003,美国
217,Silver Medalist,疯狂的赛车,喜剧,立体声,1:45:00,2009,中国大陆
218,Barnyard,疯狂农庄,动画,,2:00:00,2006,美国/德国
219,Fun Size,疯狂万圣夜,喜剧,,2:00:00,2012,美国
220,"Crazy, Stupid, Love",疯狂愚蠢的爱,喜剧,环绕声，多声道,1:53:43,2011,美国
221,The Quick and the Dead,凤舞狂沙,剧情,立体声,1:37:50,1995,美国
222,FROST/NIXON,福斯特对话尼克松,传记,环绕声，多声道,1:56:36,2008,美国
223,Flags of Our Fathers,父辈的旗帜,历史,,2:00:00,2006,美国
224,The Avengers,复仇者联盟,科幻,,2:00:00,2012,美国
225,The Damned United,该死的联队,剧情,环绕声，多声道,1:37:24,2009,英国
226,"KINGDOM, THE ('07)",改朝换代,剧情,立体声,1:45:35,2007,美国
227,Iron Man,钢铁侠,科幻,,2:00:00,2008,美国
228,Iron Man 2,钢铁侠2,科幻,,2:00:00,2010,美国
229,Tower Heist,高楼大劫案,罪案,环绕声，多声道,1:39:50,2011,美国
230,The Informant!,告密者,剧情,,2:00:00,2009,德国
231,GODZILLA (1998),哥斯拉,科幻,立体声,2:10:45,1998,美国
232,The Phantom of the Opera,歌剧魅影,剧情,立体声,2:15:10,2004,美国
233,High School Musical 3: Senior Year,歌舞青春3,歌舞,,2:00:00,2008,美国
234,Revolutionary Road,革命之路,爱情,,2:00:00,2008,美国/英国
235,Moral Kombat,格斗之王 (Cinetic),动作,,2:00:00,2009,中美日
236,QUARANTINE,隔离区,恐怖,环绕声，多声道,1:29:10,2008,美国
237,QUARANTINE 2: TERMINAL,隔离区2:终端,恐怖,立体声,1:25:06,2010,美国
238,HIGHER GROUND,更高境界,剧情,立体声,1:46:41,2011,美国
239,PUBLIC ENEMIES,公众之敌,罪案,环绕声，多声道,2:13:50,2009,美国
240,The Princess Diaries,公主日记,喜剧,,2:00:00,2001,美国
241,The Princess Diaries 2: Royal Engag,公主日记2,喜剧,,2:00:00,2004,美国
242,KUNG FU HUSTLE,功夫,喜剧,立体声,1:34:30,2004,美国
243,The Karate Kid,功夫梦,动作,立体声,2:12:39,2010,中国大陆
244,Hotel for Dogs,狗狗旅馆,家庭,,2:00:00,2009,美国/德国
245,Year of the Dog,狗年 (P),喜剧,,2:00:00,2007,美国
246,LORDS OF DOGTOWN,狗镇之主,运动,环绕声，多声道,1:42:20,2005,美国
247,Lara Croft: Tomb Raider,古墓丽影,冒险,,2:00:00,2001,德日英美
248,Lara Croft Tomb Raider: The Cradle,古墓丽影2,冒险,,2:00:00,2003,德日英美
249,Conjuring,古宅惊魂,惊悚,环绕声，多声道,1:51:52,2013,美国
250,"DOOR IN THE FLOOR, THE",寡居的一年,剧情,环绕声，多声道,1:46:00,2004,美国
251,Hanging up,挂线情未了,剧情,立体声,1:28:10,2000,美国
252,Remember the Titans,光辉岁月,剧情,,2:00:00,2000,美国
253,GLORY,光荣,战争,立体声,1:57:15,1989,美国
