序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
1019,No Return,回头无路,惊悚,立体声,1:38:24,2010,阿根廷
1020,Accused,被控者,剧情,立体声,1:40:07,2005,丹麦
1021,Ceci1ie,异度空间,惊悚,立体声,1:29:48,2006,丹麦
1022,Elina,伊莉娜,剧情,立体声,1:13:53,2002,瑞典
1023,Mystery of the Wolf,亲子心,家庭,立体声,1:30:21,2006,芬兰
1024,Perfect Sense,完美感觉,爱情,立体声,1:21:44,2010,英国
1025,Yellow,舞动生命,惊悚,立体声,1:26:09,2010,西班牙
1026,17 Hours,17小时,惊悚,立体声,1:40:17,2011,西班牙
1027,Bullying,欺凌,悬疑,立体声,1:26:12,2009,西班牙
1028,A View of Love,海景阳台,爱情/悬疑,立体声,1:41:31,2010,法国
1029,Ceasefire,停火,惊悚,立体声,1:37:45,2009,德国
1030,Salvador,萨尔瓦多,剧情,立体声,2:03:51,2006,西班牙
1031,Guts,勇气,动作,立体声,1:24:17,2009,西班牙
1032,Nightrunner,夜奔,惊悚,立体声,1:32:20,2009,阿根廷
1033,Casual day,便服日,喜剧,立体声,1:32:21,2008,西班牙
1034,The Good Life,和谐生活,剧情,立体声,1:32:50,2008,智利/西班牙
1035,Anja & Viktor,安雅和维克多,爱情,立体声,1:23:46,2001,丹麦
1036,Anja After Viktor,维克多后的安雅,爱情,立体声,1:20:33,2003,丹麦
1037,Those Who Kill,杀人犯,惊悚,立体声,1:26:54,2010,丹麦
1038,Those Who Kill: Utopia,杀人犯 - 理想国,惊悚,立体声,1:22:13,2010,丹麦
1039,Those Who Kill: Bad Blood,杀人犯 - 恶血,惊悚,立体声,1:24:08,2010,丹麦
1040,The Girl With the Dragon Tattoo,龙纹身的女孩2010,惊悚,立体声,2:28:31,2010,瑞典
1041,The Girl Who Kicked the Hornet's,捅马蜂窝的女孩,惊悚,立体声,2:26:24,2010,瑞典
1042,The Girl Who Played with Fire,玩火的女孩,惊悚,立体声,1:59:49,2010,瑞典
1043,Dancer and the Thief,舞者与小偷,惊悚,立体声,2:00:05,2009,西班牙
1044,The Narrows,纽约湾海峡,惊悚,立体声,1:37:22,2008,美国
1045,Blackthorn,黑荆棘,动作,立体声,1:37:22,2011,美国/西班牙
1046,Mabul,天降洪水,剧情,立体声,1:40:32,2010,以色列
1047,Mourning,无声的旅行,剧情,立体声,1:21:00,2011,伊朗
1048,Landscape No. 2,第2号风景,惊悚,立体声,1:15:11,2009,斯洛文尼亚/塞尔维
1049,Last Days in Jerusalem,在耶路撒冷的最后一天,剧情,立体声,1:06:51,2011,法国/巴勒斯坦
1050,November Child,十一月的孩子,剧情,立体声,1:34:10,2008,德国
1051,A Quiet Life,宁静的人生,惊悚,立体声,1:37:37,2010,德国
1052,Different From Whom,我与谁不同,喜剧,立体声,1:37:29,2010,意大利
1053,Barakat!,够了！,剧情,立体声,1:31:56,2006,阿尔及利亚/法国
1054,The Big Day,大日子,爱情/喜剧,立体声,1:26:45,2005,丹麦
1055,Aftermath,善后,剧情,立体声,1:36:54,2004,丹麦
1056,Stealing Rembrandt,窃取伦勃朗,剧情,立体声,1:48:43,2003,丹麦
1057,FC Venus,维纳斯足球队,喜剧,立体声,1:45:24,2005,芬兰
1058,Those Who Kill: Deadly Game,杀人者之死亡游戏,惊悚,立体声,1:21:21,2010,丹麦
1059,The Runway,跑道,剧情,立体声,1:28:40,2010,英国
1060,Dark Impulse,伊瓦的最佳点,惊悚,立体声,1:25:05,2012,西班牙
1061,Strangers,陌生人,爱情,立体声,1:18:35,2007,法国/以色列
1062,Bluff,虚张声势,喜剧,立体声,1:37:41,2007,哥伦比亚
1063,9-Feb-00,是命不是運,动作,立体声,1:25:17,2010,土耳其
1064,A Goodman,一个好人,惊悚,立体声,1:34:10,2009,西班牙
1065,14 Kilometres,14公里,爱情,立体声,1:33:50,2007,西班牙
1066,The Sleeping Fortune,沉睡的财富,剧情,立体声,1:42:50,2003,西班牙
1067,Life on the Edge,死亡边缘,剧情,立体声,1:25:04,2006,西班牙
1068,Life Marks,污点的生活,惊悚,立体声,1:41:17,2002,西班牙
1069,Every Song Is About Me,所有的歌曲都关于我,爱情,立体声,1:33:14,2010,西班牙
1070,Lies,不良气味,喜剧,立体声,,2007,西班牙
1071,Who's Next,所有人都被邀请,惊悚,立体声,1:29:15,2008,西班牙
1072,Berlin '36,柏林1936,剧情,立体声,1:36:14,2009,德国
1073,Almanya - Willkomen in Deutshland,阿曼尼亚,喜剧,立体声,1:36:55,2011,德国
1074,Bon Appetit,苏黎世情缘,喜剧,立体声,1:31:04,2010,德国
1075,Maternity Blues,母性忧闷,剧情,立体声,1:33:38,2011,意大利
1076,Rough Hands,粗糙的双手,剧情,立体声,1:34:52,2011,摩洛哥
1077,The Father and the Foreigner,父亲和外国人,剧情,立体声,1:46:02,2010,意大利
1078,Unlikely Revolutionaries,“不可能”的革命者,喜剧,立体声,1:38:53,2010,意大利
1079,Chocolate Kisses,巧克力之吻,爱情,立体声,1:39:08,2011,意大利
1080,The Matchmaker,媒人,剧情,立体声,1:50:10,2010,以色列
1081,Captain Thunder,雷霆队长与圣杯,动作,立体声,1:47:47,2011,西班牙
1082,Cinema Dream,梦徊电影院,喜剧,立体声,1:22:16,2011,伊朗
1083,Loft,阁楼,惊悚,立体声,1:45:05,2010,荷兰
1084,Simon and the Oaks,西蒙和橡树,剧情,立体声,1:54:37,2011,瑞典
1085,The Cliff,悬崖,惊悚,立体声,1:45:40,2010,冰岛
1086,Hidden (Skjult),不可告人,惊悚,立体声,1:31:12,2009,挪威
1087,Horn of Plenty,聚宝盆,剧情,立体声,1:36:19,2008,西班牙
1088,An Invisible Woman,隐形的女人,喜剧,立体声,1:34:21,2006,西班牙
1089,Those Who Kill: An Eye for an Eye,凶杀案之以牙还牙,惊悚,立体声,1:22:00,2010,丹麦
1090,Those Who Kill: Shadow of the Past,杀人者-过去的阴影,惊悚,立体声,1:31:38,2010,丹麦
1091,Beyond,爱，让悲伤跨越,剧情,立体声,1:33:19,2011,瑞典
1092,Brothers - The Return,兄弟—回归,惊悚,立体声,1:30:20,2006,瑞典
1093,Darkwoods,黑暗的森林,惊悚,立体声,1:21:12,2003,挪威
1094,Dear Alice,亲爱的爱丽丝,剧情,立体声,1:32:35,2010,瑞典
1095,Kissed by Winter,冬季的亲吻,剧情,立体声,1:16:12,2005,挪威
1096,The Flyer,飞越之人,剧情,立体声,1:31:43,2005,南非
1097,Your Life in ‘65,你的65秒钟生活,剧情,立体声,1:32:31,2005,西班牙
1098,The Education of a Fairy,仙女的教育,剧情,立体声,1:32:54,2006,西班牙
1099,The Method,职场无间道,惊悚,立体声,1:51:03,2005,西班牙
1100,Only Human,毛脚女婿,喜剧,立体声,1:23:03,2004,西班牙/英国
1101,The Crossing,瓶子里的火车,惊悚,立体声,1:30:43,2004,挪威
1102,At Point Blank,在空白点,惊悚,立体声,1:40:01,2003,瑞典
1103,Beyond The Border,超越边界,动作,立体声,1:56:07,2011,瑞典
1104,Body of Water,水体,惊悚,立体声,1:39:46,2012,芬兰
1105,The Bright Side of the Moon,月亮美好的一面,剧情,立体声,1:53:32,2010,意大利
1106,A Simple Love Story,一个简单的爱情故事,爱情,立体声,1:40:12,2012,伊朗
1107,Swindlers,骗子,惊悚,立体声,1:47:33,2004,西班牙
1108,I Know Who You Are,我知道你是谁,惊悚,立体声,1:42:30,2001,西班牙/阿根廷
1109,Cleopatra,克莉奥帕特拉,爱情,立体声,1:39:20,2003,西班牙
1110,Your Next Life,你的来生,惊悚,立体声,1:42:51,2004,西班牙
1111,Fear Me Not,别害怕我,惊悚,立体声,1:30:27,2008,丹麦
1112,Little Big Girl,小大女孩,家庭,立体声,1:37:20,2002,丹麦
1113,We Are the Champions,我们是冠军,惊悚,立体声,1:19:24,2004,丹麦
1114,Serial Dreams,连续梦境,惊悚,立体声,1:37:20,2010,伊朗
1115,"Behrouz Hit Me, Mom!",贝鲁兹打我，妈妈,家庭,立体声,1:21:18,2010,伊朗
1116,Queen,皇后,惊悚,立体声,2:00:49,2012,伊朗
1117,Jackpot,聚宝游戏,喜剧,立体声,1:11:50,2011,挪威
1118,Daisy Diamond,黛西之钻,剧情,立体声,1:19:03,2006,丹麦
1119,Sunstorm,太阳风暴,惊悚,立体声,1:39:18,2007,瑞典
1120,Silent City,无声之城,剧情,立体声,1:25:54,2012,荷兰
1121,Love at Forty,四十之爱,爱情,立体声,1:25:08,2011,伊朗
1122,A True Report,真实报告,剧情,立体声,1:27:14,2010,伊朗
1123,Sweet Sixteen,甜蜜十六岁,剧情,立体声,1:41:41,2002,英国
1124,Boogie Woogie,摇摆名画,喜剧,立体声,1:24:07,2009,英国
1125,The Best Man,绝世好男,爱情,立体声,1:31:37,2005,美国
1126,The Alzemier Case,杀手的记忆,惊悚,立体声,1:56:16,2004,比利时
1127,Immediate Boarding,如似姐妹,家庭,立体声,1:24:53,2003,瑞典
1128,ID: A,身份A,动作,立体声,1:40:08,2010,丹麦
1129,Summer Window,夏之窗,剧情,立体声,1:32:41,2011,德国
1130,3rd Floor,绝命三楼,惊悚,立体声,1:22:08,2010,伊朗
1131,The Fateful Night,命运之夜,剧情,立体声,1:29:40,2010,伊朗
1132,"Iraq, Evening of the 10th Day",伊拉克，第十天夜晚,剧情,立体声,1:43:13,2010,伊朗
1133,The Market,黑心交易市场,剧情,立体声,1:28:59,2008,土耳其
1134,No Man's Land,三不管地帯,剧情,立体声,1:33:04,2001,波斯尼亚
1135,The Mighty Celt,赛犬真情,剧情,立体声,1:18:21,2005,冰岛
1136,Rough Winds,困境,剧情,立体声,1:45:17,2006,西班牙
1137,Beck: Buried Alive,神探贝克-活埋,惊悚,立体声,1:26:13,2009,瑞典
1138,Catch That Girl,小小飞贼,冒险,立体声,1:23:02,2001,丹麦
1139,Finding Friends,找朋友,冒险,立体声,1:25:34,2004,挪威
1140,Beyond (Dykkerne),深海零界点,惊悚,立体声,1:28:43,2000,丹麦
1141,King's Game,政治游戏,惊悚,立体声,1:42:33,2004,丹麦
1142,One Step Behind,迟来一步,惊悚,立体声,1:37:25,2005,瑞典
1143,Maria Wern - Fatal Contamination,马利亚韦恩,惊悚,立体声,2:44:51,2008,瑞典
1144,Just a Father,父亲学习手册,剧情,立体声,1:29:48,2009,意大利
1145,At A Glance,爱情离间计,惊悚,立体声,1:52:57,2008,意大利
1146,In This World,美丽新世界,剧情,立体声,1:26:06,2002,英国
1147,Dossier K,K档案,惊悚,立体声,1:56:30,2009,比利时
1148,French Film,法式爱情电影,爱情,立体声,1:24:08,2008,英国
1149,My Year Without Sex,今年不做爱,剧情,立体声,1:32:18,2009,澳大利亚
1150,Drowning Ghost,溺死鬼,惊悚,立体声,1:39:19,2004,瑞典
1151,United,爱上足球的我们,喜剧,立体声,1:21:45,2003,挪威
1152,This is England,这就是英国,剧情,立体声,1:37:24,2006,英国
1153,A Boy Called Dad,被叫做爸爸的男孩,剧情,立体声,1:15:27,2009,英国
1154,Wah Wah,华华岁月,剧情,立体声,1:35:08,2005,英国
1155,Beautiful Kate,美丽的凯特,剧情,立体声,1:25:52,2009,澳大利亚
1156,BabyCall,阴孩来电,惊悚,立体声,1:32:12,2011,挪威
1157,Murder Farm,谋杀农场,惊悚,立体声,1:32:53,2009,德国
1158,Whisky With Vodka,威士忌与伏特加,剧情,立体声,1:39:32,2009,德国
1159,Bad 家庭,不良家庭,剧情,立体声,1:29:49,2010,芬兰
1160,Lessons In Chocolate,浪漫巧克力课程,爱情,立体声,1:34:57,2007,意大利
1161,Seven Acts of Mercy,相伴的距离,剧情,立体声,1:38:50,2011,意大利
1162,Priest of Evil,邪恶祭司,惊悚,立体声,1:40:06,2010,芬兰
1163,Murk,黑暗线索,惊悚,立体声,1:59:00,2005,丹麦
1164,Oldboys,青春老男孩,剧情,立体声,1:34:52,2009,丹麦
1165,Files on the Wall,针孔正义,惊悚,立体声,1:31:56,2005,丹麦
1166,Reclaim Your Brain,占领大脑,喜剧,立体声,1:57:43,2007,德国
1167,Nobel's Last Wish,安尼卡 班森 诺贝尔的遗嘱,惊悚,立体声,1:28:54,2012,瑞典
1168,Annika Bengtzon—A Place In the Sun,安尼卡 班森 日光之下,惊悚,立体声,1:28:22,2012,瑞典
1169,Annika Bengtzon-Lifetime,安尼卡 班森 生存战,惊悚,立体声,1:28:30,2012,瑞典
1170,Annika Bengtzon-Studio Sex,安尼卡 班森 69工作室,惊悚,立体声,1:29:01,2012,瑞典
1171,Annika Bengtzon-Prime Time,安尼卡 班森 黄金时段,惊悚,立体声,1:29:24,2012,瑞典
1172,El Dedo,手指,喜剧,立体声,1:33:27,2011,阿根廷
1173,Viva Belarus,万岁！白俄罗斯！,剧情,立体声,1:40:03,2012,波兰
1174,Gucha,爱情喇叭手,冒险,立体声,1:27:41,2006,塞尔维亚
1175,Chinese Takeaway,一丝偶然,喜剧,立体声,1:26:29,2011,阿根廷
1176,Red Lips,红唇,冒险,立体声,1:34:02,2011,墨西哥
1177,Year of Grace,忘年契约,剧情,立体声,1:25:07,2011,西班牙
1178,Easy Money II,不义之财 2,动作,立体声,1:35:46,2012,瑞典
1179,Bad Faith,恶意,惊悚,立体声,1:39:50,2010,瑞典
1180,"Above the Street, Below the Water",爱似流水,剧情,立体声,1:24:43,2010,丹麦
1181,4 Days In May,五月的四天,剧情,立体声,1:33:28,2011,德国
1182,Bunshinsaba,笔仙,恐怖,立体声,1:33:13,2012,中国大陆
1183,,疯狂漂移假爸爸,喜剧,立体声,1:32:05,2012,中国大陆
1184,,红鹰侠,动作,立体声,1:49:37,2010,泰国
1185,The Flying Machine,梦幻飞琴,冒险,立体声,1:17:38,2013,中国大陆
1186,Punished,迷途追凶,罪案,立体声,1:27:01,2011,中国香港
1187,Legend of The Moles-Treasure of Scylla,摩尔庄园2海妖宝藏,动画,立体声,1:35:11,2012,中国大陆
1188,The Story of A Piano,琴动我心,剧情,立体声,1:28:18,2011,中国大陆
1189,Nightmare,青魇,恐怖片,立体声,1:25:29,2012,中国大陆
1190,The Three Musketeers,三个火枪手,动作,立体声,1:50:30,2011,美国
1191,The Man Behind the Courtyard House,守望者 罪恶迷途,罪案,立体声,1:48:32,2011,中国大陆
1192,A Simple Life,桃姐,剧情,立体声,1:58:13,2011,中国香港
1193,,武侠,动作,立体声,1:54:30,2011,中国大陆
1194,I Love Hong Kong 2,喜上加喜2012,喜剧,立体声,1:35:35,2012,中国香港
1195,A Separation,分居风暴,剧情,立体声,2:02:08,2012,伊朗
1196,L'appat,诱饵,动作,立体声,1:24:03,2010,加拿大
1197,Love For Life,最爱,爱情,立体声,1:41:30,2011,中国大陆
1198,,1942,剧情,立体声,2:26:05,2012,中国大陆
1199,Very Kidnappers,非常绑匪,喜剧,立体声,1:27:54,2012,中国大陆
1200,Beyond a Reasonable Doubt,高度怀疑,悬疑,立体声,1:45:11,2009,美国
1201,West Groovy,哥的传说,喜剧,立体声,1:41:33,2010,中国大陆
1202,,古宝奇缘,喜剧,立体声,1:39:14,2011,中国大陆
1203,Happily Ever After,很想和你在一起,爱情,立体声,1:39:14,2009,中国香港
1204,Nutcracker,胡桃夹子 魔镜冒险,奇幻,立体声,1:48:02,2010,英国
1205,Painted Skin： The Resurrection,画皮2,奇幻,立体声,2:11:36,2012,中国大陆
1206,Faces in the Crowd,幻影追凶,罪案,立体声,1:42:23,2012,美国
1207,,荒岛情未了,惊悚,立体声,1:38:24,2012,中国大陆
1208,Wan bok lut chaai,魂魄唔齐,奇幻,立体声,1:51:05,2002,中国香港
1209,,极峰迷情,爱情,立体声,1:33:42,2011,中国大陆
1210,,今年一定要嫁出去,剧情,立体声,1:34:59,2011,中国大陆
1211,Harpoon,惊魂游戏,惊悚,立体声,1:40:08,2012,中国大陆
1212,The Wages of Sin,水落石出,惊悚,立体声,1:28:52,2011,中国大陆
1213,The Last Headwoman,末代女土司,剧情,立体声,1:32:43,2011,中国大陆
1214,Happy Adventure,开心大冒险,喜剧,立体声,1:22:21,2012,中国大陆
1215,Magic To Win,开心魔法,喜剧,立体声,1:40:49,2011,中国香港
1216,Lee's Adventures,李献计历险记,动画,立体声,1:30:40,2011,中国大陆
1217,The Hunt,猎物,动作,立体声,1:44:41,2012,法国
1218,Ghost Rider: Spirit of Vengeance,灵魂战车2,动作,立体声,1:35:24,2012,美国
1219,Flying Swords of Dragon Gate,龙门飞甲,动作,立体声,2:02:22,2011,中国香港
1220,,麦积山的呼唤,剧情,立体声,1:29:37,2011,中国大陆
1221,Sleepwalker,梦游,惊悚,立体声,1:44:05,2011,中国香港
1222,Case Sensitive,敏感事件,惊悚,立体声,1:32:16,2011,中国大陆
1223,Be A Mother,母语,剧情,立体声,1:32:20,2012,中国大陆
1224,The Viral Factor,逆战,动作,立体声,2:03:04,2012,中国香港
1225,New York Assassination,纽约行动,动作,立体声,1:25:43,2012,美国
1226,Overheard 2,窃听风云2,动作,立体声,1:54:40,2011,中国香港
1227,The Allure Of Tears,倾城之泪,爱情,立体声,1:50:58,2011,中国大陆
1228,Warriors of the Rainbow,赛德克巴莱,剧情,立体声,2:33:09,2011,中国台湾
1229,Design Of Death,杀生,惊悚,立体声,1:48:08,2012,中国大陆
1230,,山鼓声声,剧情,立体声,1:31:43,2011,中国大陆
1231,Sad Fairy Tale,伤心童话,剧情,立体声,1:31:27,2012,中国大陆
1232,Sector,深海之战,惊悚,立体声,1:35:09,2011,韩国
1233,Cop Unbowed,誓不低头,剧情,立体声,1:25:14,2004,中国香港
1234,Nun Chucks,双截棍,动作,立体声,1:26:52,2012,中国大陆
1235,Taichi II,太极2,动作,立体声,1:42:32,2012,中国大陆
1236,Lost In Thailand,人在囧途之泰囧,喜剧,立体声,1:44:56,2012,中国大陆
1237,Skyline,天际浩劫,科幻,立体声,1:32:35,2011,美国
1238,The Assassins,铜雀台,动作,立体声,1:47:21,2012,中国大陆
1239,Yellow Rose,完美的爱,剧情,立体声,1:31:10,2011,中国大陆
1240,Blitz,玩命追踪,动作,立体声,1:36:41,2012,英国
1241,,万年飘香,剧情,立体声,1:27:31,2011,中国大陆
1242,Conan the Barbarian,王者之剑,奇幻,立体声,1:48:06,2012,美国
1243,The Sword Identity,倭寇的踪迹,古装,立体声,1:50:20,2012,中国大陆
1244,11 flowers,我11,剧情,立体声,1:50:29,2012,中国/法国
1245,Midnight Beating,午夜心跳,惊悚,立体声,1:29:05,2010,中国大陆
1246,Night Mare,午夜凶梦,惊悚,立体声,1:30:06,2011,中国大陆
1247,Love You You,夏日乐悠悠,爱情,立体声,1:31:09,2011,中国大陆
1248,A Disappearing Village,消失的村庄,剧情,立体声,1:25:12,2011,中国大陆
1249,,爱来不来,爱情,立体声,1:28:34,2009,中国大陆
1250,Shotgun Love,爱情真可怕,爱情,立体声,1:47:24,2011,韩国
1251,Whoever,爱谁谁,爱情,立体声,1:32:19,2012,中国大陆
1252,,爱在回响,剧情,立体声,1:30:36,2012,中国大陆
1253,Mirror Mirror,白雪公主之魔镜魔镜,奇幻,立体声,1:46:02,2012,美国
1254,,大耳窿,罪案,立体声,1:38:00,2010,中国香港
1255,Enter the Phoenix,大佬爱美丽,喜剧,立体声,1:44:38,2004,中国香港
1256,,大无谓,动作,立体声,1:29:39,2004,中国香港
1257,The Door With Dad's Love,当爸爸来敲门,剧情,立体声,1:34:54,2011,中国大陆
1258,Life Without Principle,夺命金,罪案,立体声,1:45:40,2011,中国香港
1259,The Devil Inside Me,夺命心跳,惊悚,立体声,1:34:56,2011,中国大陆
1260,"Yes, I can see dead people",恶男事件,恐怖,立体声,1:31:29,2008,中国香港
1261,,夜店诡谈,惊悚,立体声,1:30:26,2012,中国大陆
1262,Love Actually,真爱至上,爱情,立体声,1:27:31,2011,中国大陆
1263,Cool Young,正青春,爱情,立体声,1:33:14,2011,中国大陆
1264,Fatal Invitation,致命请柬,惊悚,立体声,1:29:34,2011,中国大陆
1265,One Mile Above,转山,剧情,立体声,1:29:36,2011,中国台湾
1266,,爱love,爱情,立体声,2:00:52,2012,中国大陆
1267,SONOFONOONE,无人之子,罪案,环绕声，多声道,1:33:45,2011,美国
1268,STONEHENGE APOCALYPS,巨石阵灾劫,科幻,环绕声，多声道,1:30:48,2010,美国
1269,THE WARD,病院惊魂,惊悚,环绕声，多声道,1:28:55,2010,美国
1270,The Hunger Games,饥饿游戏,动作,立体声,2:16:45,2012,美国
1271,Rise,龙之猎手,奇幻,环绕声，多声道,1:34:12,2008,美国
1272,Season of the Witch,女巫季节,奇幻,立体声,1:33:40,2011,美国
1273,Jump! Ashin,翻滚吧阿信,喜剧,立体声,2:02:38,2011,中国台湾
1274,China 1911,辛亥革命,剧情,立体声,2:00:38,2011,中国香港
1275,Inseparable,形影不离,喜剧,立体声,1:37:02,2012,中国大陆
1276,Love on Credit,幸福额度,剧情,立体声,1:33:46,2011,中国大陆
1277,Dream Girl,炫舞天鹅,家庭,立体声,1:33:27,2011,中国大陆
1278,Be Scared On The Way,一路惊心,喜剧,立体声,1:30:32,2011,中国大陆
1279,Joyful Reunion,饮食男女2,爱情,立体声,1:46:44,2012,中国台湾
1280,Little Man,美男计,爱情,立体声,1:37:33,2012,中国大陆
1281,Cha cha for Twins,宝米恰恰,喜剧,立体声,1:49:44,2013,中国台湾
1282,The Soul of Bread,爱的面包魂,喜剧,立体声,,2012,中国台湾
1283,AN INVISIBLE SIGN,我的神奇符号,剧情,环绕声，多声道,1:35:18,2011,美国
1284,CEREMONY,劫婚典礼,喜剧,环绕声，多声道,1:29:44,2010,美国
1285,ELEPHANT WHITE,白象,动作,环绕声，多声道,1:31:02,2011,美国
1286,EverymansWar,普人之战,战争,环绕声，多声道,1:44:47,2009,美国
1287,ICARUS(THE KILLING MACHINE),轰天谋战,动作,环绕声，多声道,1:26:50,2010,美国
1288,IRONCLAD,铁甲战士,战争,环绕声，多声道,2:01:02,2009,美国
1289,ONLY_THE_BRAVE,光荣战役,历史,环绕声，多声道,1:40:08,1989,美国
1290,Saints_and_Soldiers,马尔梅第战役,动作,环绕声，多声道,1:30:00,2006,美国
1291,SOLITARY MAN,孤独的人,剧情,环绕声，多声道,1:30:01,2009,美国
1292,THE MALAY CHRONICLES,血战王朝,动作,环绕声，多声道,1:48:01,2011,马来西亚
1293,THE VALDEMAP LEGACY,幽宅1,剧情,环绕声，多声道,1:44:05,1995,西班牙
1294,TRUST,猎狼联线,剧情,环绕声，多声道,1:45:27,2011,美国
1295,A Beautiful Life,不再让你孤单,爱情,立体声,2:01:53,2011,中国大陆
1296,Ice Kacang Puppy Love,初恋红豆冰,爱情,环绕声，多声道,1:43:51,2010,马来西亚
1297,,传奇之门,爱情,立体声,1:34:23,2010,中国大陆
1298,"Tad, the Lost Explorer",秘鲁大冒险,动画,立体声,1:31:54,2012,西班牙
1299,The Cove,海豚湾,纪录,立体声,1:36:25,2009,美国
1300,,苏乞儿,剧情,环绕声，多声道,1:52:47,2010,中国大陆
1301,Jack Of All Traces,神通乡巴佬,剧情,环绕声，多声道,1:24:32,2012,中国大陆
1302,Eternal Moment,将爱情进行到底,爱情,环绕声，多声道,1:42:33,2011,中国大陆
1303,Mr. Zhai,宅男总动员.女神归来,爱情,环绕声，多声道,1:29:33,2011,中国大陆
1304,House Mania,房不剩房,爱情,环绕声，多声道,1:30:35,2011,中国大陆
1305,Buddha Mountain,观音山,爱情,立体声,1:41:09,2011,中国大陆
1306,The Purple House,紫宅,悬疑,立体声,1:33:35,2011,中国大陆
1307,,像小强一样活着,喜剧,环绕声，多声道,2:34:42,2011,中国大陆
1308,Legend of A Rabbit,兔侠传奇,动画,环绕声，多声道,1:28:41,2011,中国大陆
1309,,欠我十万零五千,剧情,立体声,1:32:05,2009,中国大陆
1310,Rest On Your Shoulder,肩上蝶,剧情,环绕声，多声道,2:00:54,2011,中国大陆
1311,Deadly Will,囧探佳人,喜剧,环绕声，多声道,1:35:30,2011,中国大陆
1312,Mr. & Mrs. Single,隐婚男女,剧情,环绕声，多声道,1:41:09,2011,中国大陆
1313,Speed Angels,极速天使,剧情,环绕声，多声道,1:51:59,2011,中国大陆
1314,STONE,危狱惊情,剧情,环绕声，多声道,1:43:10,2010,美国
1315,THE FORBIDDEN SHAD0W2,幽宅2,悬疑,环绕声，多声道,1:34:12,2010,西班牙
1316,No Limit,无极限之危情速递,喜剧,立体声,1:31:23,2011,中国大陆
1317,A Big Deal,巨额交易,剧情,立体声,1:27:55,2011,中国大陆
1318,Lost In Panic Cruise,密室之不可靠岸,剧情,立体声,1:39:03,2011,中国大陆
1319,Cold Steel,遍地狼烟,动作,环绕声，多声道,1:41:34,2011,中国大陆
1320,The Love Winner,恋爱大赢家,剧情,立体声,1:32:27,2004,中国大陆
1321,The love Clinic,爱情维修站,剧情,立体声,1:40:34,2010,中国大陆
1322,Crime and Punishment,罪与罚,纪录,立体声,1:30:11,2007,中国大陆
1323,A Marvellous Detective,妙探神威,剧情,立体声,1:25:45,2004,中国大陆
1324,,新婚告急,动作,立体声,1:28:59,2004,中国大陆
1325,Welcome To Sha-ma Town,决战刹马镇,西部,环绕声，多声道,1:44:01,2010,中国大陆
1326,Midnight Taxi,午夜出租车,惊悚,立体声,1:32:37,2009,中国大陆
1327,Panda Express,熊猫大侠,喜剧,环绕声，多声道,1:33:08,2009,中国大陆
1328,Legend of the Fist: The Return of Chen,精武风云,动作,立体声,1:45:19,2010,中国大陆
1329,,追梦,爱情,立体声,1:35:03,2011,中国台湾
1330,The Locked Door,女人如花,历史,环绕声，多声道,1:21:54,2011,中国大陆
1331,The Road Less Traveled,一路有你,都市,立体声,1:48:06,2009,中国大陆
1332,Truth or Dare,真心话大冒险,情感,立体声,1:39:28,2012,中国大陆
1333,Love Lifting,高举爱,剧情,环绕声，多声道,1:30:55,2012,中国香港
1334,The Warrior And The Wolf,狼灾记,情感,立体声,1:36:18,2009,中国大陆
1335,Dream House,梦宅诡影,惊悚,立体声,1:31:24,2011,美国
1336,A Simple Noodle Story,三枪拍案惊奇,喜剧,立体声,1:34:12,2009,中国大陆
1337,Its Love,白蛇传说,神话,立体声,1:42:21,2011,中国大陆
1338,Perfect Two,天生一对,喜剧,立体声,1:37:14,2012,中国台湾
1339,Dear Enemy,亲密敌人,喜剧,立体声,1:46:43,2011,中国大陆
1340,The Four Cupids,四个丘比特,情感,立体声,1:41:12,2009,中国大陆
1341,Curse of the Deserted,荒村公寓,都市,立体声,1:35:26,2009,中国大陆
1342,Yu Da Ba Jiao,古镇情缘,剧情,环绕声，多声道,1:30:04,2010,中国大陆
1343,Limitless,永无止境,惊悚,环绕声，多声道,1:44:49,2011,美国
1344,Million Dollar Crocodiler,百万巨鳄,剧情,环绕声，多声道,1:29:44,2012,中国大陆
1345,Haeundae,海云台,情感,立体声,1:36:18,2009,韩国
1346,Last Night,一夜迷情,剧情,立体声,1:32:03,2011,美国
1347,Immortals,惊天战神,动作,立体声,1:48:48,2011,美国
1348,,S大学事件,剧情,立体声,1:03:00,,韩国
1349,,爱的记忆,剧情,立体声,1:02:15,,韩国
1350,,爱上花花公子,剧情,立体声,1:05:12,,韩国
1351,,爱胜过分手,剧情,立体声,0:59:13,,韩国
1352,,奔跑的她,剧情,立体声,1:01:52,,韩国
1353,,篦子,剧情,立体声,1:03:04,,韩国
1354,,不良小说,剧情,立体声,1:44:25,,韩国
1355,,不再跳舞,剧情,立体声,1:02:50,,韩国
1356,,春英,剧情,立体声,1:00:31,,韩国
1357,,村庄轶事,剧情,立体声,1:05:18,,韩国
1358,,大家一起恰恰恰,剧情,立体声,1:07:49,,韩国
1359,,等待早班车,剧情,立体声,1:05:00,,韩国
1360,,第一次爱,剧情,立体声,1:03:28,,韩国
1361,,都市怪谈,剧情,立体声,1:06:46,,韩国
1362,,飞鸟,剧情,立体声,1:36:25,,韩国
